Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
39393,A,56022,yes,yes,no,no,,no,no,yes,no,,fuel engine,diesel,70,200,front,,,,,,,,,,,1.488,3.546,2.3,1.627,,1248,particle filter,4,dohc,common rail,35,4000,70,1500,200,yes,4,hatchback,3,2015,20195,4,2013,manual,11,3.7,97,C,3.1,180,4.7,3.44,2900,955,1420,50,82,269.865,283.7378641,[3.91- 2.16- 1.35- 0.97- 0.77],931.375,1006.375,1031.375,1020,2.420976,A
8188,A,9793,yes,yes,yes,no,,no,no,yes,no,,fuel engine,diesel,63,200,front,,,,,,,,,,,1.47,3.687,2.367,1.654,,1461,particle filter,4,ohc,common rail,40,4000,63,1750,200,yes,2,hatchback,3,2014,13890,4,2013,manual,11.2,3.3,85,B,3,185,3.8,3.44,2600,955,1425,,80.5,266.525,283.0582524,[3.73- 2.05- 1.32- 0.94- 0.69],928,1003,1028,1020,2.43138,A
40516,B,57623,yes,yes,yes,no,,no,550,yes,no,,fuel engine,petrol,74,145,front,,,,,,,,,,,1.493,4.027,2.575,1.707,,1149,regular,4,ohc,multipoint injection,55,5500,74,3000,145,yes,4,hatchback,3,2012,16390,5,2012,manual,11,5.4,125,C,4.5,184,7,3.88,3350,1065,1580,,76.8,279.25,291.9417476,[3.73- 2.05- 1.39- 1.03- 0.82],1027.875,1102.875,1127.875,1130,2.548551,B
35452,B,50322,995,yes,295,no,,no,550,yes,no,,fuel engine,diesel,65,200,front,,,,,,,,,,,1.493,4.027,2.575,1.707,,1461,particle filter,4,ohc,common rail,55,4000,65,1750,200,yes,2,hatchback,5,2013,16890,5,2012,manual,11,3.4,89,B,3,182,4.2,3.29,2400,1175,1665,,80.5,277.08,292.7184466,[3.73- 2.05- 1.32- 0.94- 0.69],1137.875,1212.875,1237.875,1250,2.548551,B
40225,B,57227,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,diesel,55,210,front,,,,,,,,,,,1.453,3.972,2.47,1.682,,1422,particle filter,3,dohc,common rail,45,3000,55,1500,210,yes,4,hatchback,3,available,19350,5,2015,manual,12.9,3.1,82,B,2.6,178,4,3.39,2350,1090,1620,75,95.5,277.08,292.7184466,[3.78- 2.12- 1.27- 0.87- 0.66],1059.625,1134.625,1159.625,1130,2.443946,B
7897,B,9481,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,153,300,front,,,,,,,,,,,1.45,3.962,2.538,1.739,,1598,regular,4,dohc,direct injection,50,6800,153,1700,300,yes,4,hatchback,3,available,30208,5,2015,manual,6.5,5.4,125,C,4.6,230,6.9,3.56,2500,1135,1650,65,85.8,292.56,301.5533981,[3.55- 1.92- 1.32- 1.03- 0.82- 0.68],1101.25,1176.25,1201.25,1130,2.52155,B
7972,B,9557,yes,yes,yes,no,,no,no,yes,yes,,fuel engine,diesel,68,230,front,,,,,,,,,,,1.46,3.962,2.538,1.739,,1560,regular,4,dohc,common rail,50,4000,68,1750,230,yes,2,hatchback,5,2015,19815,5,2014,manual,10.9,3.3,85,B,3,185,3.8,3.47,2350,1055,1625,65,88.3,284.295,301.6990291,[3.45- 1.87- 1.16- 0.82- 0.66],1021.25,1096.25,1121.25,1130,2.53894,B
41388,B,58842,yes,yes,no,no,,no,yes,yes,no,,fuel engine,petrol,74,146,front,,,,,,,,,,,1.463,3.918,2.486,1.683,,1596,regular,4,dohc,multipoint injection,45,6000,74,4000,146,no,4,hatchback,5,2008,16195,5,2008,manual,11,6.4,153,F,5.1,183,8.8,4.25,3450,1011,1540,75,81.4,274.155,289.0776699,[3.15- 1.93- 1.28- 0.95- 0.76],980.625,1055.625,1080.625,1020,2.462229,B
5766,B,7076,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,diesel,66,130,front,,,,,,,,,,,1.479,4.021,2.51,1.736,,1248,particle filter,4,dohc,common rail,45,3750,70,1500,190,yes,4,hatchback,3,available,19895,5,2015,automatic,13.5,3.1,82,B,3,182,3.4,3.55,2450,1099,1665,75,82,286.855,301.407767,[3.73- 1.96- 1.32- 0.89- 0.67],1068.625,1143.625,1168.625,1130,2.567544,B
9645,B,11903,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,81,205,front,,,,,,,,,,,1.631,4.101,2.54,1.766,,1199,regular,3,dohc,direct injection,50,5500,81,1500,205,no,4,mpv,5,available,19590,5,2015,manual,10.7,5,115,B,4.2,186,6.4,4.76,3750,1179,1753,60,90.5,286.855,301.407767,[3.42- 1.8- 1.28- 0.98- 0.77],1145.25,1220.25,1245.25,1250,2.880346,B
9639,B,11897,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,73,254,front,,,,,,,,,,,1.631,4.101,2.54,1.766,,1560,particle filter,4,dohc,common rail,50,3750,73,1750,254,yes,2,mpv,5,available,22900,5,2015,manual,12.1,3.9,101,C,3.5,179,4.7,3.74,2300,1280,1779,60,88.3,286.855,301.407767,[3.58- 1.92- 1.32- 0.98- 0.76- 0.6],1246.25,1321.25,1346.25,1360,2.880346,B
5798,B,7151,yes,yes,yes,no,,190,270,yes,yes,,fuel engine,diesel,77,250,front,,,,,,,,,,,1.467,3.992,2.47,1.732,,1422,particle filter,3,dohc,common rail,45,3500,77,1750,250,yes,4,hatchback,5,available,22240,5,2015,manual,10.1,3.5,90,C,3.3,193,3.9,3.39,2250,1065,1620,75,95.5,277.08,292.7184466,[3.78- 1.94- 1.19- 0.82- 0.63],1034.625,1109.625,1134.625,1130,2.540844,B
8280,B,9927,yes,yes,yes,no,,no,255,yes,no,,fuel engine,petrol,63,160,front,,,,,,,,,,,1.445,4.227,2.469,1.693,,1197,regular,4,ohc,multipoint injection,45,4800,63,1500,160,yes,2,stationwagon,5,available,17990,5,2014,manual,11.7,5.1,119,B,4.4,180,6.5,3.63,2850,1045,1605,75,75.6,278.665,291.2135922,[3.77- 1.95- 1.28- 0.93- 0.74],1014.625,1089.625,1114.625,1130,2.446385,B
34271,C,48725,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,85,190,front,,,,,,,,,,,1.471,4.302,2.64,1.808,,1198,regular,4,dohc,direct injection,60,4500,85,2000,190,yes,4,hatchback,5,available,22190,5,2014,manual,10.9,5.3,119,B,4.6,190,6.4,3.73,2800,1180,1787,,73.2,299.14,316.6990291,[3.73- 2.11- 1.45- 1.11- 0.91- 0.77],1139.5,1214.5,1239.5,1250,2.659568,C
34265,C,48719,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,diesel,81,240,front,,,,,,,,,,,1.471,4.302,2.64,1.808,,1461,particle filter,4,dohc,common rail,60,4000,81,1750,240,yes,4,hatchback,5,available,25790,5,2015,automatic,11.7,4.2,110,D,3.7,190,5.1,3.62,2350,1265,1845,,80.5,291.145,306.7475728,[4.31- 2.48- 1.45- 1.02- 0.84- 0.65],1224.5,1299.5,1324.5,1250,2.659568,C
6378,C,7777,yes,yes,yes,yes,,400,yes,yes,yes,,fuel engine,petrol,110,240,front,,,,,,,,,,,1.484,4.538,2.648,1.823,,1498,regular,4,dohc,direct injection,55,6000,110,1600,240,yes,4,sedan,4,available,26445,5,2015,automatic,9,5.8,134,B,5,210,7.5,4.07,2750,1271,1900,75,76.4,299.75,313.9805825,[3.73- 2.05- 1.36- 1.03- 0.82- 0.69],1233.875,1308.875,1333.875,1250,2.705332,C
47844,C,,yes,yes,yes,yes,yes,yes,€300.00,yes,no,,electric engine,electricity,107,250,front,23,lithium-ion,,,permanent magnet synchronous motor,250,1,107,162,,1.466,4.358,2.648,1.823,,,,,,,,,,,,,,hatchback,5,2014,39990,5,2013,single-speed fixed gear,11.4,,0,A,,135,,7.82,,1644,,,,323.4,,,1644,,,,2.672518,C
39723,C,56501,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,96,230,front,,,,,,,,,,,1.471,4.585,2.73,1.804,,1199,regular,3,dohc,multipoint injection,53,5500,96,1750,230,yes,4,stationwagon,5,available,29010,5,2015,manual,10,4.7,109,A,4,205,5.9,4.18,2450,1165,1840,80,90.5,294.875,307.9126214,[3.54- 1.92- 1.22- 0.86- 0.7- 0.59],1129.225,1204.225,1229.225,1250,2.653684,C
34092,C,48535,yes,yes,yes,yes,,yes,yes,yes,yes,,fuel engine,diesel,133,400,front,,,,,,,,,,,1.457,4.253,2.62,1.804,,1997,particle filter,4,dohc,common rail,53,3750,133,2000,400,yes,4,hatchback,5,available,35330,5,2015,automatic,8.4,4,103,C,3.5,220,4.7,2.95,1950,1295,1920,,88,298.8,309.3203883,[4.45- 2.5- 1.56- 1.14- 0.85- 0.67],1259.225,1334.225,1359.225,1360,2.628428,C
2592,C,3564,yes,yes,yes,yes,,yes,560,yes,yes,,fuel engine,diesel,81,250,front,,,,,,,,,,,1.421,4.237,2.601,1.777,,1598,particle filter,4,dohc,common rail,50,3200,81,1500,250,yes,4,hatchback,3,available,33740,5,2014,manual,10.5,3.8,99,C,3.4,200,4.5,3.39,2000,1205,1790,75,80.5,294.875,307.9126214,[4.11- 2.12- 1.36- 0.97- 0.73- 0.59],1171.25,1246.25,1271.25,1250,2.525117,C
5635,C,6911,yes,yes,yes,no,,no,no,yes,no,,fuel engine,petrol,81,205,front,,,,,,,,,,,1.489,4.329,2.608,1.789,,1199,regular,3,dohc,direct injection,60,5500,81,1750,205,yes,4,hatchback,5,available,19790,5,2015,manual,12.3,4.8,112,A,4,184,6.1,4.93,3700,1175,1770,75,90.5,289.365,308.0097087,[3.46- 1.87- 1.29- 0.95- 0.75],1134.5,1209.5,1234.5,1250,2.663821,C
5630,C,6904,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,88,300,front,,,,,,,,,,,1.489,4.329,2.608,1.789,,1560,particle filter,4,dohc,common rail,60,3500,88,1750,300,yes,2,hatchback,5,available,26390,5,2015,manual,10.6,3.6,93,B,3.3,197,4.1,3.74,2100,1255,1860,55,88.3,291.145,306.7475728,[3.54- 1.92- 1.28- 0.91- 0.67- 0.56],1214.5,1289.5,1314.5,1250,2.663821,C
7661,C,9193,yes,yes,yes,no,,no,395,yes,no,,fuel engine,petrol,125,260,front,,,,,,,,,,,1.51,4.419,2.685,1.814,,1598,regular,4,dohc,direct injection,56,6000,125,1650,260,yes,4,hatchback,5,available,26845,5,2015,manual,8.7,5.9,139,C,4.9,220,7.8,3.83,2750,1330,2000,75,81.5,303.65,318.8349515,[3.82- 2.16- 1.48- 1.07- 0.88- 0.74],1292.2,1367.2,1392.2,1360,2.73914,C
7683,C,9215,yes,yes,yes,no,,no,395,yes,yes,,fuel engine,diesel,121,350,front,,,,,,,,,,,1.51,4.419,2.685,1.814,,1956,particle filter,4,ohc,common rail,56,4000,121,1750,350,yes,4,hatchback,5,available,29495,5,2015,manual,9,4.5,119,D,4,215,5.4,3.35,2000,1418,2040,75,90.4,303.65,318.8349515,[4.17- 2.13- 1.32- 0.95- 0.75- 0.62],1380.2,1455.2,1480.2,1470,2.73914,C
8709,C,10830,yes,yes,no,no,,no,no,yes,yes,,fuel engine,petrol,99,164,front,,,,,,,,,,,1.465,4.3,2.65,1.78,,1591,regular,4,dohc,direct injection,53,6300,99,4850,164,no,4,hatchback,5,available,19995,5,2014,manual,9.9,5,118,B,4.3,190,6.4,4.06,2800,1168,1720,80,85.4,289.365,308.0097087,[3.77- 2.05- 1.37- 1.04- 0.84- 0.69],1132.225,1207.225,1232.225,1250,2.6077,C
9769,C,12072,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,94,260,front,,,,,,,,,,,1.465,4.3,2.65,1.78,,1582,particle filter,4,dohc,common rail,53,4000,94,1900,260,yes,4,hatchback,3,2014,25795,5,2013,manual,10.9,3.7,97,C,3.5,188,4.1,3.47,2100,1265,1810,80,85,291.145,306.7475728,[3.77- 2.05- 1.19- 0.84- 0.7- 0.6],1229.225,1304.225,1329.225,1250,2.6077,C
1872,C,2834,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,88,280,front,,,,,,,,,,,1.47,4.37,2.646,1.802,,1969,particle filter,4,dohc,common rail,52,3750,88,1500,280,yes,4,hatchback,5,available,37995,5,2015,manual,10.6,3.7,96,B,3.4,190,4.2,3.61,2150,1348,1980,100,93.2,303.65,318.8349515,[3.73- 2.05- 1.26- 0.92- 0.74- 0.62],1312.9,1387.9,1412.9,1360,2.64894,C
10328,C,13562,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,107,185,front,,,,,,,,,,,1.457,4.522,2.64,1.77,,1999,regular,4,dohc,multipoint injection,55,6000,107,4000,185,no,4,stationwagon,5,2012,31750,5,2011,manual,9.6,7.6,176,F,5.7,210,10.8,4.07,3500,1283,1890,100,83.1,291.145,306.7475728,[3.42- 2.14- 1.48- 1.11- 0.85],1245.875,1320.875,1345.875,1360,2.57889,C
35476,D,50356,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,92,200,front,,,,,,,,,,,1.461,4.767,2.791,1.832,,1395,regular,4,dohc,direct injection,66,5000,92,1400,200,yes,4,sedan,4,available,32350,5,2015,manual,9.7,5.3,123,A,4.4,208,6.8,4.35,2700,1267,1910,100,80,303.82,322.5242718,[3.62- 1.95- 1.28- 0.97- 0.78- 0.65],1222.45,1297.45,1322.45,1250,2.676552,D
41989,D,59697,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,88,250,front,,,,,,,,,,,1.461,4.767,2.791,1.832,,1598,particle filter,4,dohc,common rail,66,3600,88,1500,250,yes,4,sedan,4,available,34850,5,2015,manual,10.8,4,108,B,3.6,206,4.7,3.65,2050,1344,1990,100,80.5,303.82,322.5242718,[4.11- 2.12- 1.36- 0.97- 0.73- 0.59],1299.45,1374.45,1399.45,1360,2.676552,D
26799,D,37854,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,125,320,front+rear,,,,,,,,,,,1.427,4.701,2.808,1.826,,1798,regular,4,dohc,direct injection,61,3800,125,1400,320,yes,4,sedan,4,available,41025,5,2015,manual,7.9,6.2,134,B,5.2,229,8.1,3.69,2250,1480,1980,90,84.1,299.725,317.4271845,[3.78- 2.05- 1.32- 0.97- 0.76- 0.63],1438.825,1513.825,1538.825,1470,2.605702,D
26851,D,37926,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,140,400,front+rear,,,,,,,,,,,1.427,4.701,2.808,1.826,,1968,particle filter,4,dohc,common rail,63,4200,140,1750,400,yes,4,sedan,4,available,53450,5,2014,automatic,7.3,5,132,D,4.5,235,5.9,4.09,1850,1630,2205,90,95.5,305.04,317.0873786,[3.69- 2.15- 1.34- 0.97- 0.74- 0.57- 0.46],1587.475,1662.475,1687.475,1700,2.605702,D
27189,D,38447,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,165,350,front+rear,,,,,,,,,,,1.391,4.712,2.81,1.854,,1984,regular,4,dohc,direct injection,64,4500,165,1500,350,yes,4,hatchback,5,available,56020,4,2014,automatic,6.5,6.7,155,C,5.6,245,8.5,4.09,2050,1590,2165,90,92.8,303.65,318.8349515,[3.69- 2.15- 1.41- 1.03- 0.79- 0.63- 0.52],1546.8,1621.8,1646.8,1590,2.578914,D
23801,D,32866,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,125,210,rear,,,,,,,,,,,1.384,4.612,2.76,1.782,,1995,regular,4,dohc,direct injection,63,6700,125,4250,210,no,4,cabriolet,2,2013,57672,4,2013,automatic,9.8,7.3,169,E,5.8,226,9.8,4.1,2800,1600,2055,,90,298.8,309.3203883,[4.17- 2.34- 1.52- 1.14- 0.86- 0.69],1557.475,1632.475,1657.475,1590,2.466288,D
3079,D,4065,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,85,270,rear,,,,,,,,,,,1.429,4.624,2.81,1.811,,1995,particle filter,4,dohc,common rail,57,4000,85,1250,270,yes,4,stationwagon,5,available,44295,5,2015,manual,11.2,4.1,109,C,3.7,200,4.9,3.23,2050,1470,2090,75,90,299.14,316.6990291,[4.0- 2.11- 1.38- 1.0- 0.78- 0.65],1431.525,1506.525,1531.525,1470,2.587919,D
36525,D,51874,yes,yes,yes,no,,no,450,yes,yes,,fuel engine,petrol,88,156,front,,,,,,,,,,,1.456,4.792,2.817,1.853,,1598,regular,4,dohc,multipoint injection,72,6000,88,4250,156,no,4,sedan,4,available,29080,5,2014,automatic,11.5,6.2,144,B,4.6,203,9,4.87,3050,1365,1945,70,85.8,303.82,322.5242718,[3.54- 1.92- 1.32- 0.98- 0.76- 0.65],1316.4,1391.4,1416.4,1360,2.697968,D
47766,D,68104,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,88,300,front,,,,,,,,,,,1.476,4.813,2.817,1.853,,1560,particle filter,4,dohc,common rail,72,3500,88,1750,300,yes,2,stationwagon,5,available,35360,5,2015,manual,11.6,4.2,100,A,3.7,197,5,4.05,2300,1405,2100,80,88.3,303.82,322.5242718,[3.54- 1.92- 1.32- 0.98- 0.76- 0.6],1356.4,1431.4,1456.4,1470,2.735028,D
6386,D,7786,yes,yes,yes,yes,,yes,yes,yes,no,,fuel engine,petrol,118,240,front,,,,,,,,,,,1.482,4.871,2.85,1.852,,1498,regular,4,dohc,direct injection,63,5700,118,1600,240,yes,4,hatchback,5,available,34695,5,2014,automatic,9.1,6.3,146,B,4.9,214,8.7,3.07,2200,1405,2190,75,76.4,303.82,322.5242718,[4.58- 2.96- 1.91- 1.45- 1.0- 0.75],1362.475,1437.475,1462.475,1470,2.744664,D
33958,D,48390,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,125,260,front,,,,,,,,,,,1.525,4.92,2.737,1.858,,1598,regular,4,dohc,direct injection,70,4250,125,1650,260,yes,4,stationwagon,5,available,38995,5,2014,manual,9.8,6.2,146,B,5.3,215,7.8,3.94,2700,1564,2215,100,81.5,320.25,336.0194175,[4.27- 2.35- 1.48- 1.07- 0.88- 0.74],1516.75,1591.75,1616.75,1590,2.83345,D
33986,D,48418,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,125,400,front,,,,,,,,,,,1.514,4.913,2.737,1.858,,1956,particle filter,4,dohc,common rail,70,3500,125,1750,400,yes,4,stationwagon,5,available,43095,5,2015,manual,9.9,4.5,119,B,3.8,220,5.7,3.55,2050,1633,2300,100,90.4,314.595,328.9805825,[3.92- 2.04- 1.32- 0.95- 0.75- 0.62],1585.75,1660.75,1685.75,1700,2.813012,D
5725,D,7035,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,121,210,front,,,,,,,,,,,1.48,4.8,2.75,1.84,,1998,regular,4,dohc,direct injection,62,6000,121,4000,210,no,4,stationwagon,5,available,35990,5,2015,automatic,10.2,6,139,B,5,206,7.7,4.33,2450,1315,2020,,91.2,312.425,329.7572816,[3.55- 2.02- 1.45- 1.0- 0.71- 0.6],1273.15,1348.15,1373.15,1360,2.7232,D
5718,D,7027,yes,yes,yes,yes,,yes,yes,yes,yes,,fuel engine,diesel,110,380,front,,,,,,,,,,,1.48,4.8,2.75,1.84,,2191,particle filter,4,dohc,common rail,62,4500,110,2000,380,yes,4,stationwagon,5,available,36990,5,2015,manual,9.2,4.2,110,B,3.7,210,5.1,2.81,1950,1395,2090,,94.3,312.425,329.7572816,[3.54- 1.83- 1.57- 1.15- 0.89- 0.75],1353.15,1428.15,1453.15,1470,2.7232,D
36591,D,51970,yes,yes,yes,yes,,no,no,yes,no,,fuel engine,petrol,108,196,front,,,,,,,,,,,1.525,4.715,2.7,1.76,,1998,regular,4,dohc,direct injection,60,5700,108,4000,196,no,4,stationwagon,5,2008,31905,5,2006,manual,9.6,8.1,193,G,6.6,210,10.7,3.68,2950,1340,1895,90,86,299.75,313.9805825,[3.54- 2.05- 1.33- 1.03- 0.82],1299.5,1374.5,1399.5,1360,2.684,D
4350,D,5412,yes,yes,yes,no,,no,no,yes,no,,fuel engine,diesel,85,280,front,,,,,,,,,,,1.525,4.7,2.7,1.76,,1995,no,4,dohc,common rail,60,4000,85,2000,280,yes,4,stationwagon,5,2006,30200,5,2003,manual,11.4,6,158,G,5.1,195,7.7,3.68,2550,1405,1970,90,94,291.145,306.7475728,[3.54- 1.91- 1.26- 0.92- 0.69],1364.5,1439.5,1464.5,1470,2.684,D
39396,E,56025,yes,yes,yes,yes,,843,yes,yes,yes,,fuel engine,petrol,225,400,front+rear,,,,,,,,,,,1.464,4.907,2.968,1.86,,2979,regular,6,dohc,direct injection,70,5800,225,1200,400,yes,4,sedan,4,available,70201,5,2013,automatic,5.6,7.6,178,D,5.9,250,10.5,3.08,1950,1740,2365,100,89.6,312.425,329.7572816,[4.71- 3.14- 2.11- 1.67- 1.29- 1.0- 0.84- 0.67],1692.75,1767.75,1792.75,1810,2.72304,E
40595,E,57726,yes,yes,yes,yes,,843,yes,yes,yes,,fuel engine,diesel,110,360,rear,,,,,,,,,,,1.464,4.907,2.968,1.86,,1995,particle filter,4,dohc,common rail,70,4000,110,1750,360,yes,4,sedan,4,available,48985,5,2014,manual,9.5,4.3,114,B,3.9,218,5.1,3.23,2000,1590,2225,100,90,312.425,329.7572816,[4.11- 2.25- 1.4- 1.0- 0.8- 0.66],1542.75,1617.75,1642.75,1590,2.72304,E
5909,E,7262,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,245,440,front+rear,,,,,,,,,,,1.455,4.933,2.912,1.874,,2995,regular,6,dohc,direct injection,75,5500,245,2900,440,yes,4,sedan,4,available,74680,5,2014,automatic,5.1,7.4,172,C,6,250,9.8,4.09,2000,1725,2360,100,89,314.595,328.9805825,[3.69- 2.15- 1.41- 1.03- 0.79- 0.63- 0.52],1674.375,1749.375,1774.375,1700,2.72667,E
5897,E,7250,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,160,500,front+rear,,,,,,,,,,,1.455,4.933,2.912,1.874,,2967,particle filter,6,dohc,common rail,73,3250,160,1250,500,yes,4,sedan,4,available,70970,5,2014,automatic,6.6,5.1,133,C,4.6,244,5.9,4.09,1750,1740,2375,100,91.4,320.86,333.3009709,[3.69- 2.15- 1.34- 0.97- 0.74- 0.57- 0.46],1690.725,1765.725,1790.725,1810,2.72667,E
